"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality"
"ff17aafe-9020-46bd-bf24-891d389575c4","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","CALROSSIE  60KM NE OF MOREE ON NEWELL H'WAY  BETWEEN FOXES LANE AND CROPPA CRK TURNOFF","","","","-29.0","150.09999","","","Australia","New South Wales","Moree Plains (A)","","Brigalow Belt South","","","","","","25654","2000","01","","2000-01-01","","","HumanObservation","present","","","","true","true"
"fd925dab-0753-492e-9b97-196e12fbc876","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","8MLS NE OF HARDEN","","","","-34.25","148.58333","","","Australia","New South Wales","Young (A)","","NSW South Western Slopes","","","","","","20848","1996","01","","1996-01-01","","","HumanObservation","present","","","","true","true"
"fc7f949f-6518-41ef-998c-3ad748f1c59f","3236495.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","Sensitive record","-37.7416","145.425","GDA94","-37.742","145.425","","1000.0","Australia","Victoria","Yarra Ranges (S)","","South Eastern Highlands","","","","","","RAOU VIC observer code 190","1979","01","01","1979-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"fbe7ab05-03a0-4ebe-926c-b5447021c5d3","3706086.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","BALD HILL","-38.1651","143.5013","GDA94","-38.1651","143.5013","","9000.0","Australia","Victoria","Colac-Otway (S)","","Southern Volcanic Plain","","","","","","RAOU VIC historical observer code 0078","1970","01","01","1970-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"f48b351f-ae49-4d8d-ab26-ab51eb1e110d","3202428.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","Sensitive record","-37.575","145.0916","GDA94","-37.575","145.092","","1000.0","Australia","Victoria","Whittlesea (C)","","Southern Volcanic Plain","","","","","","RAOU VIC observer code 322","1977","01","08","1977-01-08","","Human Observation","HumanObservation","present","","","","true","true"
"f30343ca-4474-4628-8731-71fe86ccff71","3256080.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","GLUE POT CREEK","-37.4567","149.6262","GDA94","-37.4567","149.6262","","4500.0","Australia","Victoria","East Gippsland (S)","","South East Corner","","","","","","RAOU VIC observer code 1997","1977","01","01","1977-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"eff2595c-0665-423b-8226-ab1bc7917d75","3288073.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","BALD HILL","-38.0818","143.418","GDA94","-38.082","143.418","","9000.0","Australia","Victoria","Corangamite (S)","","Southern Volcanic Plain","","","","","","RAOU VIC observer code 781","1977","01","01","1977-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"ef83a25f-1480-401b-b4b4-55a48086ee06","URN:CornellLabOfOrnithology:EBIRD:OBS266440816","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr2009","eBird Australia","","","","","CC0","","","","-34.2","138.1","EPSG:4326","-34.2","138.1","","","Australia","South Australia","","Spencer Gulf Shelf Province","","","","","","6","Birdlife  Australia","2014","01","","","","","HumanObservation","present","","","","true","false"
"ef2d5d13-951b-474f-b48b-63b9a989c352","3713202.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","10' BLOCK CONTAINING BENDIGO","-36.8485","144.3679","GDA94","-36.8485","144.3679","","9000.0","Australia","Victoria","Greater Bendigo (C)","","Victorian Midlands","","","","","","RAOU VIC historical observer code 613","1950","01","01","1950-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"e8239249-c248-4422-ac6b-d4ccb60511d9","3838621.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","5' BLOCK CONTAINING WOOLAMAI","-38.4568","145.4596","GDA94","-38.4568","145.4596","","4500.0","Australia","Victoria","Bass Coast (S)","","South East Coastal Plain","","","","","","Not Supplied","1981","01","01","1981-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"debc28ef-5734-48d8-8d9e-1dccb91d293e","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","TICHBORNE","","","","-33.25","148.08333","","","Australia","New South Wales","Parkes (A)","","NSW South Western Slopes","","","","","","23000","1977","01","31","1977-01-31","","","HumanObservation","present","","","","true","true"
"d18681ab-6996-4f9b-a623-2a9c972ab215","B30263","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr342","Museums Victoria provider for OZCAM","in16","Museums Victoria","co120","Museums Victoria Ornithology Collection","CC-BY","NMV","Ornithology","Ancona, Bonnie Doon to Merton","-36.98","145.78","WGS84","-36.98","145.78","","","Australia","Victoria","Mansfield (S)","","Victorian Midlands","","","","","1","Unknown","1977","01","19","1977-01-19","","PreservedSpecimen","PreservedSpecimen","present","Male","specimenNature=Skeleton;specimenForm=Dry","","true","true"
"c9a15477-ae4d-41cd-aab2-5db017638f11","769-SER","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr368","OEH Atlas of NSW Wildlife","","","","","CC-BY 4.0 (Int)","NSW Office of Environment and Heritage","BioNet Atlas of NSW Wildlife","locality withheld","-35.425982408","149.347452744","GDA94","-35.425982407","149.347452744","","1000.0","Australia","New South Wales","Palerang (A)","","South Eastern Highlands","","","","","","PBARA-SER","1987","01","01","1987-01-01","","HumanObservation","HumanObservation","present","","","","true","true"
"c1f66b8e-6a2d-4dc3-bcee-a1c693e099d8","URN:CornellLabOfOrnithology:EBIRD:OBS231593603","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr2009","eBird Australia","","","","","CC0","","","","-34.2","138.1","EPSG:4326","-34.2","138.1","","","Australia","South Australia","","Spencer Gulf Shelf Province","","","","","","1","Hedley & Irena Earl","2014","01","","","","","HumanObservation","present","","","","true","false"
"c0d14ad4-ca9e-404f-8ef3-97e695f3c991","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","MITTAGONG","","","","-34.416664","150.41667","","","Australia","New South Wales","Wingecarribee (A)","","Sydney Basin","","","","","","23500","1977","01","01","1977-01-01","","","HumanObservation","present","","","","true","true"
"bf932bc7-9321-49fb-ae2f-910a660cf30f","261772","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr361","Fauna Atlas N.T.","","","","","CC-BY 3.0 (Au)","","","","-15.83188649","136.66784462","","-15.83188649","136.66784462","","","Australia","Northern Territory","Roper Gulf (S)","","Gulf Coastal","","","","","","","1967","01","31","1967-01-31","","","HumanObservation","present","","","","true","true"
"badde488-99d3-4e75-8a7a-592e40b5f009","2880366.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","AUSTRALIAN CHAR PLANT","-38.2484","146.4179","GDA94","-38.2484","146.4179","","9000.0","Australia","Victoria","Latrobe (C)","","South East Coastal Plain","","","","","","RAOU VIC observer code 41","1977","01","01","1977-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"ba7132cc-aa16-4919-aacd-7bdfc1d6c805","3678463.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","Sensitive record","-35.6583","142.1083","GDA94","-35.6583","142.1083","","1000.0","Australia","Victoria","Yarriambiack (S)","","Murray Darling Depression","","","","","","RAOU VIC historical observer code 0158","1961","01","01","1961-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"b61301dc-d8b1-4c03-9335-9607fd3e06de","3501600.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","IN THE STICKS","-37.3735","141.9596","GDA94","-37.3735","141.9596","","4500.0","Australia","Victoria","Southern Grampians (S)","","Victorian Midlands","","","","","","Staff Others (non departmental)","1977","01","01","1977-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"b5d2131f-55a6-4ff7-abfb-5690fd4ad827","4453973.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","WITHIN 2 KM OF BANGHOLME","-38.0529","145.1725","GDA94","-38.0529","145.1725","","100.0","Australia","Victoria","Greater Dandenong (C)","","South East Coastal Plain","","","","","","NA See original data sheet","1973","01","01","1973-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"a7924ded-8c87-4cc9-8c67-9aa938915adc","URN:CornellLabOfOrnithology:EBIRD:OBS223960115","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr2009","eBird Australia","","","","","CC0","","","","-34.2","138.2","EPSG:4326","-34.2","138.2","","","Australia","South Australia","Wakefield (DC)","","Eyre Yorke Block","","","","","1","Edward Smith","2014","01","","","","","HumanObservation","present","","","","true","true"
"a7006192-408c-4e24-b028-de387856e4d4","3402382.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","JOHNS HILL","-37.9151","145.4179","GDA94","-37.9151","145.4179","","9000.0","Australia","Victoria","Yarra Ranges (S)","","South Eastern Highlands","","","","","","RAOU VIC observer code 190","1978","01","01","1978-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"a30770a9-7f01-43fa-ada3-6277f811ccca","3682786.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","10' BLOCK CONTAINING KANIVA POLICE STATION","-36.4985","141.3346","GDA94","-36.4985","141.3346","","9000.0","Australia","Victoria","West Wimmera (S)","","Murray Darling Depression","","","","","","RAOU VIC historical observer code 0031","1975","01","01","1975-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"9e587b32-67b5-4b57-8dc5-98f178c7c393","3109679.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","GATUM","-37.4151","141.918","GDA94","-37.415","141.918","","9000.0","Australia","Victoria","Southern Grampians (S)","","Victorian Midlands","","","","","","RAOU VIC observer code 920","1977","01","01","1977-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"96f1a461-75cc-4c66-80aa-a702da9f0b7a","3678462.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","Sensitive record","-35.6583","142.1083","GDA94","-35.6583","142.1083","","1000.0","Australia","Victoria","Yarriambiack (S)","","Murray Darling Depression","","","","","","RAOU VIC historical observer code 0158","1951","01","01","1951-01-01","","Human Observation","HumanObservation","present","","","","true","true"
"95daf7b3-dae7-4541-a7fc-bc4d6a6a9075","","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","LETTER-WINGED KITE","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1089","New South Wales Bird Atlassers","","","","","CC-BY","","","TICHBORNE","","","","-33.25","148.08333","","","Australia","New South Wales","Parkes (A)","","NSW South Western Slopes","","","","","","23500","1977","01","","1977-01-01","","","HumanObservation","present","","","","true","true"
"9157feed-b932-4c65-8d8b-7182627d39a4","3730324.00","urn:lsid:biodiversity.org.au:afd.taxon:4f3a5260-4f39-4393-a644-4d05b1c45f9b","Elanus scriptus","Letter-winged Kite","Elanus scriptus","species","Letter-winged Kite","Animalia","Chordata","Aves","Falconiformes","Accipitridae","Elanus","Elanus scriptus","","dr1097","Victorian Biodiversity Atlas","","","","","CC-BY 3.0 (Au)","","","10' BLOCK CONTAINING MELBOURNE","-37.8984","145.0513","GDA94","-37.8984","145.0513","","9000.0","Australia","Victoria","Glen Eira (C)","","South East Coastal Plain","","","","","","RAOU VIC historical observer code 0382","1865","01","01","1865-01-01","","Human Observation","HumanObservation","present","","","","true","true"
