Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,17115,1987,1,9,FG
IDCJAC0001,17115,1987,2,49.4,FG
IDCJAC0001,17115,1987,3,10.2,FG
IDCJAC0001,17115,1987,4,0,FG
IDCJAC0001,17115,1987,5,7,FG
IDCJAC0001,17115,1987,6,37.2,FG
IDCJAC0001,17115,1987,7,0,FG
IDCJAC0001,17115,1987,8,11.1,FG
IDCJAC0001,17115,1987,9,10.6,FG
IDCJAC0001,17115,1987,10,1,Y
IDCJAC0001,17115,1987,11,7,Y
IDCJAC0001,17115,1987,12,61,Y
IDCJAC0001,17115,1988,1,0,Y
IDCJAC0001,17115,1988,2,1.5,Y
IDCJAC0001,17115,1988,3,87.5,Y
IDCJAC0001,17115,1988,4,0,Y
IDCJAC0001,17115,1988,5,28.3,Y
IDCJAC0001,17115,1988,6,11.5,Y
IDCJAC0001,17115,1988,7,32.4,Y
IDCJAC0001,17115,1988,8,27.5,Y
IDCJAC0001,17115,1988,9,10.3,Y
IDCJAC0001,17115,1988,10,1.5,Y
IDCJAC0001,17115,1988,11,2,Y
IDCJAC0001,17115,1988,12,89.5,Y
IDCJAC0001,17115,1989,1,0,Y
IDCJAC0001,17115,1989,2,0,Y
IDCJAC0001,17115,1989,3,106.5,Y
IDCJAC0001,17115,1989,4,2,Y
IDCJAC0001,17115,1989,5,11.5,Y
IDCJAC0001,17115,1989,6,7.5,Y
IDCJAC0001,17115,1989,7,27.5,Y
IDCJAC0001,17115,1989,8,2,Y
IDCJAC0001,17115,1989,9,0,Y
IDCJAC0001,17115,1989,10,13.7,Y
IDCJAC0001,17115,1989,11,20.5,Y
IDCJAC0001,17115,1989,12,0,Y
IDCJAC0001,17115,1990,1,30.5,Y
IDCJAC0001,17115,1990,2,8.6,Y
IDCJAC0001,17115,1990,3,0,Y
IDCJAC0001,17115,1990,4,8,Y
IDCJAC0001,17115,1990,5,41,Y
IDCJAC0001,17115,1990,6,5,Y
IDCJAC0001,17115,1990,7,18.5,Y
IDCJAC0001,17115,1990,8,5,Y
IDCJAC0001,17115,1990,9,0,Y
IDCJAC0001,17115,1990,10,25.5,Y
IDCJAC0001,17115,1990,11,0,Y
IDCJAC0001,17115,1990,12,0,Y
IDCJAC0001,17115,1991,1,13,Y
IDCJAC0001,17115,1991,2,8.5,Y
IDCJAC0001,17115,1991,3,1,Y
IDCJAC0001,17115,1991,4,0,Y
IDCJAC0001,17115,1991,5,0,Y
IDCJAC0001,17115,1991,6,14.5,Y
IDCJAC0001,17115,1991,7,6,Y
IDCJAC0001,17115,1991,8,0,Y
IDCJAC0001,17115,1991,9,3,Y
IDCJAC0001,17115,1991,10,0,Y
IDCJAC0001,17115,1991,11,27.5,Y
IDCJAC0001,17115,1991,12,0,Y
IDCJAC0001,17115,1992,1,0,Y
IDCJAC0001,17115,1992,2,35,Y
IDCJAC0001,17115,1992,3,24,Y
IDCJAC0001,17115,1992,4,0,Y
