Trip,site,fence,leggadina,Rattusperhundred,fuscusperhundred,Smac,Scrassi,Mus,Paustralis,Pherman,Pdesertor,daysuridspecies,rodentspecies,mulgara,letterwingselect,letterwingperkm
1-Jun-11,Q,out,0.00,3.69,42.15,3.125,0.0,5.0,0.0,0.2,0.3,1.00,5.00,0.0,#NULL!,#NULL!
1-Jun-11,W,in,0.00,0.00,46.15,0.130,0.1,45.7,0.0,0.8,0.3,2.00,4.00,0.0,#NULL!,#NULL!
1-Oct-11,Q,out,0.00,1.44,9.94,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,#NULL!,0.0,#NULL!,#NULL!
1-Oct-11,W,in,0.00,0.00,0.64,0.480,0.0,0.2,0.0,0.0,0.0,1.00,2.00,0.0,#NULL!,#NULL!
1-Jul-12,Q,out,0.00,4.27,47.65,1.923,0.0,0.2,0.0,0.0,0.2,1.00,4.00,0.0,0.00,0.0000
1-Jul-12,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jul-12,SRR,out,0.00,#NULL!,#NULL!,0.000,0.0,0.0,0.0,0.0,0.8,#NULL!,3.00,0.0,0.00,0.0000
1-Jul-12,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.2,0.0,0.00,1.00,0.0,0.00,0.0000
1-Nov-12,Q,out,0.00,7.26,38.89,0.000,0.0,0.2,0.0,0.6,0.0,0.00,4.00,0.0,0.00,0.0000
1-Nov-12,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.3,0.00,1.00,0.0,0.00,0.0000
1-Nov-12,SRR,out,0.00,22.69,23.46,0.000,0.0,0.4,0.0,0.4,0.0,#NULL!,4.00,0.0,0.00,0.0000
1-Nov-12,W,in,0.00,0.00,0.18,0.000,0.3,0.6,0.0,0.0,0.0,1.00,2.00,0.0,0.00,0.0000
1-Mar-13,Q,out,0.00,2.14,34.40,0.427,0.0,0.4,0.0,1.5,0.2,1.00,4.00,0.0,0.00,0.0000
1-Mar-13,SNP,in,0.00,0.00,0.91,0.000,0.0,0.0,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Mar-13,SRR,out,0.00,7.37,31.25,1.920,1.9,2.1,0.0,1.9,0.0,2.00,4.00,0.0,0.00,0.0000
1-Mar-13,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.2,0.0,0.00,1.00,0.0,0.00,0.0000
1-Jul-13,Q,out,0.00,0.38,32.69,0.000,0.0,0.3,0.0,0.0,0.0,0.00,3.00,0.0,0.00,0.0000
1-Jul-13,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jul-13,SRR,out,0.00,2.64,31.97,0.240,0.0,0.7,0.0,0.0,0.3,1.00,4.00,0.0,1.00,0.0900
1-Jul-13,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Nov-13,Q,out,0.00,0.37,23.63,0.000,0.0,0.2,0.0,0.2,0.2,0.00,5.00,0.0,0.00,0.0000
1-Nov-13,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Nov-13,SRR,out,0.00,0.96,24.65,0.000,0.0,0.2,0.0,0.0,0.0,0.00,3.00,0.0,0.00,0.0000
1-Nov-13,W,in,0.00,0.00,0.00,0.000,0.0,0.2,0.0,0.0,0.0,0.00,1.00,0.0,0.00,0.0000
1-Mar-14,Q,out,0.00,0.18,14.29,0.366,0.0,1.1,0.0,0.2,0.0,1.00,4.00,0.0,0.00,0.0000
1-Mar-14,SNP,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Mar-14,SRR,out,0.00,0.48,16.99,0.160,0.0,0.0,0.0,0.2,0.0,1.00,3.00,0.0,1.00,0.1250
1-Mar-14,W,in,0.00,0.00,0.00,0.000,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Jun-14,Q,out,0.00,0.00,5.68,0.821,0.0,3.9,0.0,0.3,0.0,1.00,3.00,0.0,0.00,0.0000
1-Jun-14,SNP,in,0.00,0.00,0.00,0.000,0.0,0.3,0.0,0.1,0.0,0.00,2.00,0.0,0.00,0.0000
1-Jun-14,SRR,out,0.00,0.00,3.37,0.480,0.2,0.6,0.2,0.0,0.0,2.00,3.00,0.0,0.00,0.0000
1-Jun-14,W,in,0.00,0.00,0.16,0.000,0.0,0.2,0.0,0.0,0.0,0.00,2.00,0.0,0.00,0.0000
1-Nov-14,Q,out,0.00,0.00,21.84,0.000,0.0,6.0,0.2,0.7,0.2,0.00,5.00,0.0,0.00,0.0000
1-Nov-14,SNP,in,0.00,0.00,0.00,0.000,0.0,0.6,0.0,0.0,0.0,0.00,0.00,0.0,0.00,0.0000
1-Nov-14,SRR,out,0.00,0.32,10.73,0.140,0.0,0.9,0.0,0.4,0.4,1.00,5.00,0.0,0.00,0.0000
1-Nov-14,W,in,0.00,0.00,0.32,0.000,0.0,0.1,0.0,0.1,0.0,0.00,3.00,0.0,0.00,0.0000
1-Mar-15,Q,out,0.00,0.00,25.97,2.759,0.0,7.6,0.0,0.7,0.3,1.00,4.00,0.0,0.00,0.0000
1-Mar-15,SNP,in,0.00,0.00,0.14,0.143,0.0,0.9,0.0,0.0,0.0,1.00,2.00,0.0,0.00,0.0000
1-Mar-15,SRR,out,0.00,0.00,7.35,0.000,0.0,1.8,0.0,0.2,0.0,0.00,3.00,0.0,0.00,0.0000
